Asset,SKA-B.ST,EKTA-B.ST,GETI-B.ST,ERIC-B.ST,TEL2-B.ST,HM-B.ST,SKA-B.ST,EKTA-B.ST,GETI-B.ST,ERIC-B.ST,TEL2-B.ST,HM-B.ST
Channel,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close
2019-09-13,178.00222778320312,127.25452423095703,133.57986450195312,76.43294525146484,126.50904083251953,185.47467041015625,188.64999389648438,129.39999389648438,135.8000030517578,77.73999786376953,135.0,190.24000549316406
2019-09-16,176.68124389648438,125.87775421142578,132.54702758789062,75.78404998779297,128.61753845214844,180.26841735839844,187.25,128.0,134.75,77.08000183105469,137.25,184.89999389648438
2019-09-17,178.4739990234375,125.77941131591797,135.79307556152344,76.62959289550781,129.69520568847656,181.2433624267578,189.14999389648438,127.9000015258789,138.0500030517578,77.94000244140625,138.39999389648438,185.89999389648438
2019-09-18,180.45547485351562,125.87775421142578,139.4817657470703,78.06504821777344,131.2882843017578,182.51080322265625,191.25,128.0,141.8000030517578,79.4000015258789,140.10000610351562,187.1999969482422
2019-09-19,182.01234436035156,126.5661392211914,138.74403381347656,78.45832061767578,132.7876434326172,184.38270568847656,192.89999389648438,128.6999969482422,141.0500030517578,79.80000305175781,141.6999969482422,189.1199951171875
2019-09-20,183.14462280273438,126.27111053466797,140.21949768066406,79.9134292602539,135.3178253173828,184.2852325439453,194.10000610351562,128.39999389648438,142.5500030517578,81.27999877929688,144.39999389648438,189.02000427246094
2019-09-23,177.388916015625,125.97610473632812,139.13748168945312,78.63529968261719,135.97381591796875,181.82833862304688,188.0,128.10000610351562,141.4499969482422,79.9800033569336,145.10000610351562,186.5
2019-09-24,176.96432495117188,127.89376831054688,142.08843994140625,79.32351684570312,137.09832763671875,182.6472930908203,187.5500030517578,130.0500030517578,144.4499969482422,80.68000030517578,146.3000030517578,187.33999633789062
2019-09-25,176.4453582763672,127.549560546875,138.89157104492188,78.41899108886719,136.86404418945312,182.99827575683594,187.0,129.6999969482422,141.1999969482422,79.76000213623047,146.0500030517578,187.6999969482422
2019-09-26,184.60711669921875,127.00867462158203,142.03924560546875,76.6689224243164,138.17599487304688,184.38270568847656,195.64999389648438,129.14999389648438,144.39999389648438,77.9800033569336,147.4499969482422,189.1199951171875
